leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
TXL000182,Kip Averitt,Kip,,Averitt,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1060.jpg,2010-06-19 03:51:42.033000,2011-01-11 18:41:26.081000
TXL000183,John Carona,John,,Carona,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1150.jpg,2010-06-19 03:51:42.035000,2015-01-07 22:02:52.111000
TXL000184,Wendy Davis,Wendy,,Davis,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1155.jpg,2010-06-19 03:51:42.049000,2015-01-07 22:02:52.109000
TXL000185,Bob Deuell,Bob,,Deuell,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1160.jpg,2010-06-19 03:51:42.051000,2015-01-07 22:02:52.115000
TXL000186,David Dewhurst,David,,Dewhurst,,,False,tx,,,Republican,http://upload.wikimedia.org/wikipedia/commons/f/f2/David_Dewhurst.jpg,2010-06-19 03:51:42.053000,2016-05-02 08:30:02.125000
TXL000187,Robert Duncan,Robert,,Duncan,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1165.jpg,2010-06-19 03:51:42.056000,2014-10-07 13:44:56.305000
TXL000188,Rodney Ellis,Rodney,,Ellis,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1185.jpg,2010-06-19 03:51:42.058000,2017-01-29 04:46:05.442000
TXL000189,Kevin Eltife,Kevin,,Eltife,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1225.jpg,2010-06-19 03:51:42.061000,2017-01-29 04:46:01.141000
TXL000191,Troy Fraser,Troy,,Fraser,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1190.jpg,2010-06-19 03:51:42.066000,2017-01-29 04:46:09.473000
TXL000192,Mario Gallegos Jr.,Mario,,Gallegos,Jr.,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1245.jpg,2010-06-19 03:51:42.068000,2013-01-09 00:29:36.965000
TXL000193,Chris Harris,Chris,,Harris,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1215.jpg,2010-06-19 03:51:42.071000,2013-01-09 00:29:36.967000
TXL000194,Glenn Hegar,Glenn,,Hegar,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1230.jpg,2010-06-19 03:51:42.073000,2015-01-07 22:02:52.113000
TXL000197,Mike Jackson,Mike,,Jackson,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1270.jpg,2010-06-19 03:51:42.081000,2013-01-09 00:29:36.968000
TXL000201,Steve Ogden,Steve,,Ogden,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1415.jpg,2010-06-19 03:51:42.090000,2013-01-09 00:29:36.969000
TXL000204,Florence Shapiro,Florence,,Shapiro,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1530.jpg,2010-06-19 03:51:42.098000,2013-01-09 00:29:36.971000
TXL000205,Eliot Shapleigh,Eliot,,Shapleigh,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1540.jpg,2010-06-19 03:51:42.100000,2011-01-11 18:41:26.081000
TXL000207,Leticia Van de Putte,Leticia,,Van de Putte,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1615.jpg,2010-06-19 03:51:42.105000,2015-03-11 15:26:42.272000
TXL000209,Jeff Wentworth,Jeff,,Wentworth,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1620.jpg,2010-06-19 03:51:42.110000,2013-01-09 00:29:36.972000
TXL000212,Tommy Williams,Tommy,,Williams,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1655.jpg,2010-06-19 03:51:42.128000,2014-10-06 15:07:58.902000
TXL000219,Jimmie Don Aycock,Jimmie Don,,Aycock,,,False,tx,,,,http://www.house.state.tx.us/photos/members/2145.jpg,2010-06-19 03:51:42.144000,2017-06-01 10:35:57.369000
TXL000220,Leo Berman,Leo,,Berman,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2205.jpg,2010-06-19 03:51:42.147000,2013-01-09 00:29:36.912000
