Position,Bill,LastName,FirstName,Role,Organization,City,State
For,SB 1,Jackobs,Steven C,Director,Texas IAF Workforce Alliance,,
For,SB 1,,,,Howard College / SWCID,Aust Sparks,"Cheryl   Higher Ed  (Howard College / SWCID), Big Spring, TX"
On,SB 1,Bailey,Guy,President,University of Texas Rio Grande Valley,,
On,SB 1,Ballard,Dr. Steven,Affairs,also providing written testimony)  (Stephen F. Austin State University,Nacogdoches,TX
On,SB 1,Benson,Dr. Richard C.,President,,Richardson,TX
On,SB 1,Calhoun,"MD, Kirk A.",President,UT Health Science Center at Tyler,Tyler,TX
On,SB 1,Callender,"M.D., David L.",Administrator,University of Texas Medical Branch,Galveston,TX
On,SB 1,Colasurdo,"M.D., Giuseppe N.",Houston,UT Health Houston (UT Health Science Center),Houston,TX
On,SB 1,Deardorff,Emily,Staff,LBB,,
On,SB 1,DePinho,"M.D., Ronald",President,UT MD Anderson Cancer Center,Houston,TX
On,SB 1,Duncan,Robert,Chancellor,Texas Tech University System,,
On,SB 1,Fenves,Gregory L.,President,UT Austin,Austin,TX
On,SB 1,Foster,Paul L.,Regents,THE University of Texas System,Austin,TX
On,SB 1,Fowle,"Dr, Marilyn",Finance,Midwestern State University,Wichita Falls,TX
On,SB 1,Fraire,Jacob,,Texas Association of Community Colleges,Austin,TX
On,SB 1,Gallant,Dr. Danny,Administration,also providing written testimony)  (Stephen F. Austin State University,Nacogdoches,TX
On,SB 1,Henrich,"M.D., William L.",Antonio,UT Health San Antonio,S.A.,TX
On,SB 1,Hernandez,Demetrio,Staff,LBB,,
On,SB 1,Jackson,Lee,Chancellor,University of North Texas System,Dallas,TX
On,SB 1,Karbhari,Vistasp,President,University of Texas at Arlington,Arlington,TX
On,SB 1,Kelley,Scott,Chancellor,UT System Administration,Austin,TX
On,SB 1,Klotman,Paul,BCM,Baylor College of Medicine,Houston,TX
On,SB 1,Lane,Austin A.,President,Texas Southern University,,
On,SB 1,Lange,Dr. Richard,President,Texas Tech Health Sciences Center at El. Paso,,
On,SB 1,May,Dr. Brian,President,Angelo State University,,
On,SB 1,May,Joe D.,Chancellor,Dallas County Community College District,,
On,SB 1,McGeady,John,Staff,LBB,,
On,SB 1,McRaven,William H.,Chancellor,UT System,,
On,SB 1,Mitchell,Dr. Tedd,President,,,
On,SB 1,Mong,Bob,President,University of North Texas at Dallas,Dallas,TX
On,SB 1,Natalicio,Diana,President,Univ of Texas at El Paso,,
On,SB 1,Patillo,Dr. Baker,President,Stephen F. Austin State University,Nacogdoches,TX
On,SB 1,Podolsky,"M.D., Daniel K.",President,UT Southwestern Medical Center,Dallas,TX
On,SB 1,Reeser,Michael L.,Chancellor,TSTC,Waco,TX
On,SB 1,Romo,Dr. Ricardo,President,,,
On,SB 1,Schmidt,Emily,Staff,LBB,,
